year,title,info.rating,info.rank,info.running_time_secs,info.genres,info.plot,info.directors,info.actors
1950,Sunset Blvd.,8.6,1620,6600,"['Drama', 'Film-Noir']",A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,['Billy Wilder'],"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']"
1958,Vertigo,8.5,955,7680,"['Mystery', 'Romance', 'Thriller']","A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",['Alfred Hitchcock'],"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']"
1959,North by Northwest,8.5,1215,8160,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']","A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",['Alfred Hitchcock'],"['Cary Grant', 'Eva Marie Saint', 'James Mason']"
1959,Some Like It Hot,8.4,1764,7200,['Comedy'],"When two musicians witness a mob hit, they flee the state in an all female band disguised as women, but further complications set in.",['Billy Wilder'],"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']"
1960,The Apartment,8.4,2646,7500,"['Comedy', 'Drama', 'Romance']","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']"
1950,All About Eve,8.4,3250,8280,['Drama'],An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.,['Joseph L. Mankiewicz'],"['Bette Davis', 'Anne Baxter', 'George Sanders']"
1950,Rashomon,8.4,3290,5280,"['Crime', 'Drama']",A heinous crime and its aftermath are recalled from differing points of view.,['Akira Kurosawa'],"['Toshiro Mifune', 'Machiko Kyo', 'Masayuki Mori']"
1952,Singin' in the Rain,8.4,2116,6180,"['Comedy', 'Musical', 'Romance']",A silent film production company and cast make a difficult transition to sound.,"['Stanley Donen', 'Gene Kelly']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']"
1958,Touch of Evil,8.2,3843,5700,"['Crime', 'Film-Noir', 'Thriller']","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",['Orson Welles'],"['Charlton Heston', 'Orson Welles', 'Janet Leigh']"
1951,Strangers on a Train,8.2,2860,6060,"['Crime', 'Film-Noir', 'Thriller']",A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder...a theory that he plans to implement.,['Alfred Hitchcock'],"['Farley Granger', 'Robert Walker', 'Ruth Roman']"
1952,High Noon,8.2,3051,5100,"['Drama', 'Western']","A marshall, personally compelled to face a returning deadly enemy, finds that his own town refuses to help him.",['Fred Zinnemann'],"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell']"
1955,Les diaboliques,8.2,4518,6840,"['Mystery', 'Thriller']","The wife of a cruel headmaster and his mistress conspire to kill him, but after the murder is committed, his body disappears, and strange events begin to plague the two women.",['Henri-Georges Clouzot'],"['Simone Signoret', 'Vera Clouzot', 'Paul Meurisse']"
1959,Ben-Hur,8.1,2315,12720,"['Action', 'Adventure', 'Drama', 'History', 'Romance']","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",['William Wyler'],"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']"
1955,The Night of the Hunter,8.1,4082,5580,"['Crime', 'Drama', 'Mystery', 'Thriller']","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.","['Charles Laughton', 'Robert Mitchum', 'Terry Sanders']","['Robert Mitchum', 'Shelley Winters', 'Lillian Gish']"
